chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,harmony,perceptr,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.25511,0.1561053,2575.1372813318617,3069.4647362888104,6436.486079449255,0.07335972269253097,-7.1142463e-06,-5.6815894e-05,[92.28515625],-174.08003,73.57217,33.18538,6.221805,12.274064,-6.8222156,-5.527788,-2.630203,-10.610601,-4.5377274,-9.147477,-8.564149,-8.59762,-4.8341885,-11.876991,-7.4262695,-13.22206,-3.6091022,-10.546027,-3.9335258,1
0.27743712,0.14049704,1750.061973661276,1879.4688984412712,3345.0964393261415,0.0789938534007353,-1.02348785e-07,-1.975448e-05,[99.38401442],-214.4196,97.81473,-10.067505,13.963054,19.561483,14.922645,3.498408,6.7196856,0.7065037,7.1952195,3.5954952,10.802458,-1.5544406,-3.456558,-6.365019,-2.7023695,1.8618882,1.4821742,-1.1593066,-4.0268645,1
0.2893576,0.13618572,1104.839639732679,1564.4299543070492,2031.4043830422795,0.048540522808630034,-5.4044804e-06,-8.598741e-06,[198.76802885],-204.76683,162.33203,20.07257,9.926779,0.014191146,-0.9668326,1.8551487,-7.985394,-3.2108715,0.49669996,-13.583808,-3.956515,-8.09443,-3.80264,-5.7002506,-5.4257493,-3.778483,-6.5352902,-0.79828787,0.5418263,1
0.29816303,0.08608444,1782.461340080357,2232.745117405524,4139.733300932421,0.05538515262190402,2.838897e-06,-4.0169816e-06,[143.5546875],-221.95221,112.337,7.8241086,34.20121,1.1068069,-0.04981489,-0.441204,3.7554924,-5.173537,-4.5898066,-8.884897,-0.43224445,-2.2966077,2.7676852,3.7708204,0.4683876,-2.751138,-2.8322098,-7.3237176,-2.070097,1
0.28885236,0.094946325,1850.6463275144422,2221.103632374746,4016.392380091428,0.07185292908281733,3.1744165e-07,-9.3801873e-07,[172.265625],-176.00975,104.88204,1.0697674,37.976616,7.302202,3.6738474,-6.1483254,1.9475346,-8.465531,3.7895057,-0.04157609,-2.5692773,-0.58842576,-1.5151904,-5.2804165,-1.0149862,-5.259087,0.6601433,-2.151867,0.2836154,1
0.2640381,0.12836471,1755.4244546948928,2129.159548246802,3716.72752545714,0.07525578076625387,-2.0753107e-05,-9.5123694e-05,[151.99908088],-158.67207,116.39358,10.460557,12.586228,0.42195097,11.456089,-0.14598262,-3.9427404,-2.1118805,5.45099,11.526667,0.6074396,-4.544932,-2.9281814,-4.1699634,-2.599919,-3.2780724,6.5335417,-3.8586676,6.266155,1
0.35653344,0.019248262,2083.798788186755,2159.703163726207,4423.023254583494,0.09396957539183437,0.0001080152,1.7122744e-05,[123.046875],-330.02048,78.29304,4.9857254,8.424417,-2.8538942,-6.80868,-4.259848,-5.12321,-10.874303,-3.911628,-0.7681344,-5.8908134,2.8682785,1.5823613,-4.587498,0.544067,0.9545146,-3.3535588,-5.050343,-2.8221776,1
0.29663998,0.10452908,2490.04453056113,2959.893291066412,6218.3707316962555,0.07636235003869969,-1.11732725e-05,-2.4368952e-05,[89.10290948],-212.30931,73.687256,28.54954,6.573147,6.101241,10.010776,-0.42961615,-5.360424,3.2306871,0.29299396,0.35770136,1.4379803,-6.9403267,6.9576254,-1.3420756,5.523023,1.5695082,10.538029,2.749649,4.0285487,1
0.39715904,0.062989466,2098.543581011002,2480.7339804613907,4300.748993959221,0.09414606714396284,1.8994633e-06,1.5408095e-05,[129.19921875],-266.49936,98.160645,10.668883,6.2205796,7.2874284,7.920431,0.3935906,-6.685914,-4.477243,-6.345352,-0.65544295,1.0608753,-5.6826196,-0.27874377,-4.553616,0.29914984,-4.7477436,0.15976056,-3.665995,-0.3904909,1
0.2558905,0.08905372,2128.8337759264778,2577.2683298180596,4399.8900611334175,0.09804362483068886,2.753084e-07,-2.5127576e-05,[117.45383523],-240.12305,107.4732,26.406757,0.87108165,16.988197,-8.650207,-1.1390543,-5.647514,-14.90693,-2.9056644,-11.013109,-6.0140877,-9.835983,-3.4247103,-7.338654,-2.093498,-12.459686,-3.9831698,-6.9038086,-4.300147,1
0.39242995,0.068756856,2891.7272877167966,2641.433739697141,5880.472774918972,0.14336270075464397,9.4800777e-07,2.5173176e-05,[129.19921875],-191.96376,65.52277,22.597229,40.68205,-3.1671078,17.608772,-0.8437313,-2.386395,3.8939855,6.858454,-1.5137186,-0.6448657,4.001486,-2.7689552,-1.9451797,9.256606,-3.3497684,-4.4110427,-2.4633489,4.693439,1
0.18635057,0.16610327,1744.4929410244545,2202.317618559265,3511.8454310178017,0.05971959353231424,-4.3033115e-06,-2.2250633e-05,[80.74951172],-206.42033,97.511475,11.132409,5.8912964,-9.327086,-3.333923,-7.917101,-19.12331,-20.0017,-10.76824,-16.768805,-15.754488,-0.82638425,5.285967,6.0720367,11.227069,1.8634636,-5.4305162,-10.342352,-3.9621878,1
0.35672945,0.13544194,2540.8100696237225,2470.28207393825,5038.202868009868,0.13019157858455882,-4.788735e-05,-0.00030474784,[117.45383523],-170.83632,57.18635,-9.5327835,14.714175,1.2998527,-9.377469,2.7364497,4.960647,-5.78504,-4.140903,-6.585754,0.04147783,-8.833542,4.4210577,-3.756269,6.9892516,-0.3786847,3.2371957,1.9579216,9.054989,0
0.34817,0.1389748,1465.2973594686682,1994.9440969456716,3144.364319792473,0.042942673060178016,-0.00036330745,1.6028354e-05,[135.99917763],-208.77187,96.50328,18.949478,20.698261,13.969969,7.2283506,5.0877566,5.412393,1.8312064,3.751195,-0.42491475,2.840984,0.49526632,4.8398724,4.655712,6.734762,4.042603,5.388796,1.5482731,4.3252444,0
0.36844245,0.22936386,1652.2928057622803,1955.2158890271194,3558.420149386852,0.06649959788602941,-2.9015062e-06,0.00014995446,[112.34714674],-81.75327,129.582,-6.061163,25.612885,4.914845,10.483358,0.2227822,5.410283,-2.817426,0.68191385,-1.9683256,0.7792874,-1.1912166,-0.39430168,-3.3366783,-0.4874589,-4.426441,0.53112465,-2.708824,-2.7474422,0
